"outcome","outcome_label","predictor","sample_month","fitted","residual","sqrt_abs_standardized_residual"
"emotional_intensity_mean","Emotional Intensity","party_brand_index_10","2022-03",0.180303436211945,0.00658787150519077,0.621298107107935
"emotional_intensity_mean","Emotional Intensity","party_brand_index_10","2022-04",0.186990332112233,-0.00135851983395368,0.270158555052597
"emotional_intensity_mean","Emotional Intensity","party_brand_index_10","2022-05",0.189719011016605,0.0100375901258977,0.734659827717668
"emotional_intensity_mean","Emotional Intensity","party_brand_index_10","2022-06",0.181226617598551,-0.0127612052894023,0.855744075911023
"emotional_intensity_mean","Emotional Intensity","party_brand_index_10","2022-07",0.190069444465997,-0.0493410306794227,1.63006461241206
"emotional_intensity_mean","Emotional Intensity","party_brand_index_10","2022-08",0.187987297596767,-0.0400858743110914,1.46609889235449
"emotional_intensity_mean","Emotional Intensity","party_brand_index_10","2022-09",0.188367631776384,0.0239117573127343,1.13229933577844
"emotional_intensity_mean","Emotional Intensity","party_brand_index_10","2022-10",0.196278480027931,0.00508673405624548,0.546712465560067
"emotional_intensity_mean","Emotional Intensity","party_brand_index_10","2022-11",0.187415231157741,-0.00204875219363774,0.331576420293667
"emotional_intensity_mean","Emotional Intensity","party_brand_index_10","2022-12",0.195943304320243,0.0247231251529435,1.20039620163825
"emotional_intensity_mean","Emotional Intensity","party_brand_index_10","2023-01",0.188492245106211,-0.00356045055451127,0.436939894710927
"emotional_intensity_mean","Emotional Intensity","party_brand_index_10","2023-02",0.188517041443913,0.00697915433285395,0.611750582033205
"emotional_intensity_mean","Emotional Intensity","party_brand_index_10","2023-03",0.194110190124095,0.0156762034264809,0.938487727739085
"emotional_intensity_mean","Emotional Intensity","party_brand_index_10","2023-04",0.188506593643091,-0.00656313846671017,0.593235515251922
"emotional_intensity_mean","Emotional Intensity","party_brand_index_10","2023-05",0.185790405997544,-0.0100625469642453,0.737385233041536
"emotional_intensity_mean","Emotional Intensity","party_brand_index_10","2023-06",0.186883752452447,0.00444370349332964,0.488693146286207
"emotional_intensity_mean","Emotional Intensity","party_brand_index_10","2023-07",0.183955534334431,0.0164373573071697,0.950239094483854
"emotional_intensity_mean","Emotional Intensity","party_brand_index_10","2023-08",0.187655595449543,0.0118980215801285,0.798880578489328
"emotional_intensity_mean","Emotional Intensity","party_brand_index_10","2023-09",0.191370883941279,-0.00365546710752276,0.443743569595097
"emotional_intensity_mean","Emotional Intensity","party_brand_index_10","2023-10",0.190651972382596,-0.0151067716410352,0.901660706739921
"emotional_intensity_mean","Emotional Intensity","party_brand_index_10","2023-11",0.18776140771254,-0.00676427460324347,0.606351360577687
"emotional_intensity_mean","Emotional Intensity","party_brand_index_10","2023-12",0.190438191132948,0.0174395615500002,0.968770937862988
"emotional_intensity_mean","Emotional Intensity","party_brand_index_10","2024-01",0.188543216509989,-0.000694036930660623,0.193751618726521
"emotional_intensity_mean","Emotional Intensity","party_brand_index_10","2024-02",0.190514481468343,0.0216683998459488,1.0798543896628
"emotional_intensity_mean","Emotional Intensity","party_brand_index_10","2024-03",0.192028565403412,0.01041562112258,0.749802584272843
"emotional_intensity_mean","Emotional Intensity","party_brand_index_10","2024-04",0.186492166869639,-0.00301891896688746,0.407425627572374
"emotional_intensity_mean","Emotional Intensity","party_brand_index_10","2024-05",0.185124763340636,0.014690617666481,0.906796685148268
"emotional_intensity_mean","Emotional Intensity","party_brand_index_10","2024-06",0.195658436194513,-0.00307566026566892,0.414176018112064
"emotional_intensity_mean","Emotional Intensity","party_brand_index_10","2024-07",0.193518493509712,-0.0343721239912261,1.36817813439523
"emotional_intensity_mean","Emotional Intensity","party_brand_index_10","2024-08",0.19307209043457,-0.0190164179366544,1.0159825311782
"emotional_intensity_mean","Emotional Intensity","party_brand_index_10","2024-09",0.190688025933142,0.0175560224141345,0.972016409712359
"emotional_intensity_mean","Emotional Intensity","party_brand_index_10","2024-10",0.189747171912012,0.0336017827198551,1.34523634749338
"emotional_intensity_mean","Emotional Intensity","party_brand_index_10","2024-11",0.191821153685107,-0.00626915624596595,0.581489960274512
"emotional_intensity_mean","Emotional Intensity","party_brand_index_10","2024-12",0.190762404364603,-0.0233991776301347,1.12219880308629
"outgroup_construction_mean","Out-group Construction","party_brand_index_10","2022-03",0.27156971159727,0.0111680430345732,0.552865294006218
"outgroup_construction_mean","Out-group Construction","party_brand_index_10","2022-04",0.281652641885727,0.0188034870578747,0.686923302143237
"outgroup_construction_mean","Out-group Construction","party_brand_index_10","2022-05",0.285767118854209,-0.0262691302051523,0.812264978033589
"outgroup_construction_mean","Out-group Construction","party_brand_index_10","2022-06",0.272961743670678,-0.0444223812725901,1.09119480433486
"outgroup_construction_mean","Out-group Construction","party_brand_index_10","2022-07",0.286295524873034,-0.0566322049370401,1.19353666317965
"outgroup_construction_mean","Out-group Construction","party_brand_index_10","2022-08",0.283155930351774,-0.0752185082764127,1.3725660788402
"outgroup_construction_mean","Out-group Construction","party_brand_index_10","2022-09",0.283729422608358,0.0591944447892304,1.21758502821127
"outgroup_construction_mean","Out-group Construction","party_brand_index_10","2022-10",0.295657906711047,-0.0127202273417032,0.590867652445771
"outgroup_construction_mean","Out-group Construction","party_brand_index_10","2022-11",0.282293331903843,0.00671354243312123,0.410221208777402
"outgroup_construction_mean","Out-group Construction","party_brand_index_10","2022-12",0.295152507293231,0.0499563289032367,1.16619588616802
"outgroup_construction_mean","Out-group Construction","party_brand_index_10","2023-01",0.283917322575158,0.0133041319003795,0.577252482495804
"outgroup_construction_mean","Out-group Construction","party_brand_index_10","2023-02",0.283954712082664,0.015263289203103,0.618301606362037
"outgroup_construction_mean","Out-group Construction","party_brand_index_10","2023-03",0.292388420200182,0.0159638406622061,0.647262077539752
"outgroup_construction_mean","Out-group Construction","party_brand_index_10","2023-04",0.283938958218849,0.0297083218569972,0.862608509076247
"outgroup_construction_mean","Out-group Construction","party_brand_index_10","2023-05",0.279843316371152,-0.0236172711021522,0.772073509138465
"outgroup_construction_mean","Out-group Construction","party_brand_index_10","2023-06",0.281491934242627,-0.0214899792334152,0.734488546459335
"outgroup_construction_mean","Out-group Construction","party_brand_index_10","2023-07",0.277076579256754,0.0217448227571102,0.746961383754459
"outgroup_construction_mean","Out-group Construction","party_brand_index_10","2023-08",0.282655768591092,0.0185494497706336,0.681731436563818
"outgroup_construction_mean","Out-group Construction","party_brand_index_10","2023-09",0.279232556464938,0.00328087846504824,0.287315477633139
"outgroup_construction_mean","Out-group Construction","party_brand_index_10","2023-10",0.278148535532376,-0.011997692953547,0.549173410389042
"outgroup_construction_mean","Out-group Construction","party_brand_index_10","2023-11",0.273789956829036,0.0315851705527874,0.89548573648458
"outgroup_construction_mean","Out-group Construction","party_brand_index_10","2023-12",0.27782618246014,0.0485209694271862,1.10438722332014
"outgroup_construction_mean","Out-group Construction","party_brand_index_10","2024-01",0.274968818250109,0.0346490634070715,0.935627799849777
"outgroup_construction_mean","Out-group Construction","party_brand_index_10","2024-02",0.277941217918288,0.0500466697010857,1.12161210355903
"outgroup_construction_mean","Out-group Construction","party_brand_index_10","2024-03",0.280224250732888,0.0400265614958728,1.00457370429546
"outgroup_construction_mean","Out-group Construction","party_brand_index_10","2024-04",0.271876114123979,0.0223388432586676,0.757454018083534
"outgroup_construction_mean","Out-group Construction","party_brand_index_10","2024-05",0.269814255428298,-0.0148351798916837,0.62278712021626
"outgroup_construction_mean","Out-group Construction","party_brand_index_10","2024-06",0.285697602597272,0.0357145719887027,0.964587901605702
"outgroup_construction_mean","Out-group Construction","party_brand_index_10","2024-07",0.28247085984041,-0.100438288409489,1.59842561384732
"outgroup_construction_mean","Out-group Construction","party_brand_index_10","2024-08",0.281797744667941,-0.0536365582003275,1.1661533198024
"outgroup_construction_mean","Out-group Construction","party_brand_index_10","2024-09",0.27820289938703,0.0202026971296828,0.712637264248437
"outgroup_construction_mean","Out-group Construction","party_brand_index_10","2024-10",0.276784219382418,0.00839812236261783,0.459633686668027
"outgroup_construction_mean","Out-group Construction","party_brand_index_10","2024-11",0.279911502048318,-0.056035568893113,1.18815441101631
"outgroup_construction_mean","Out-group Construction","party_brand_index_10","2024-12",0.278315051953866,-0.0578202594405625,1.20562665211352
