outcome,outcome_label,predictor,predictor_label,sample_month,predictor_value,case_value,n_cases
ingroup_self_positioning_mean,In-group Self-positioning,party_brand_index_10,Party Brand Index (10-point units),2023-04,5.408680911376589,0.00994190490672604,954
ingroup_self_positioning_mean,In-group Self-positioning,party_brand_index_10,Party Brand Index (10-point units),2023-05,5.042631333593673,0.011953409322772597,879
ingroup_self_positioning_mean,In-group Self-positioning,party_brand_index_10,Party Brand Index (10-point units),2023-06,5.189977194931201,0.011247654316320221,1639
ingroup_self_positioning_mean,In-group Self-positioning,party_brand_index_10,Party Brand Index (10-point units),2023-07,4.795353131489422,0.011865203212039224,1360
ingroup_self_positioning_mean,In-group Self-positioning,party_brand_index_10,Party Brand Index (10-point units),2023-08,5.293995340976904,0.016071425216142896,1377
ingroup_self_positioning_mean,In-group Self-positioning,party_brand_index_10,Party Brand Index (10-point units),2023-09,6.2455384413298445,0.015905594527380506,3278
ingroup_self_positioning_mean,In-group Self-positioning,party_brand_index_10,Party Brand Index (10-point units),2023-10,6.148653650269567,0.015927981208915854,3566
ingroup_self_positioning_mean,In-group Self-positioning,party_brand_index_10,Party Brand Index (10-point units),2023-11,5.75910398908809,0.013100511795448846,1604
ingroup_self_positioning_mean,In-group Self-positioning,party_brand_index_10,Party Brand Index (10-point units),2023-12,6.11984321948073,0.0248587673413299,3697
ingroup_self_positioning_mean,In-group Self-positioning,party_brand_index_10,Party Brand Index (10-point units),2024-01,5.86446518557328,0.015306127791112225,1011
ingroup_self_positioning_mean,In-group Self-positioning,party_brand_index_10,Party Brand Index (10-point units),2024-02,6.130124558145313,0.01553839060945139,7496
ingroup_self_positioning_mean,In-group Self-positioning,party_brand_index_10,Party Brand Index (10-point units),2024-03,6.3341715009507515,0.016536023804605886,2218
ingroup_self_positioning_mean,In-group Self-positioning,party_brand_index_10,Party Brand Index (10-point units),2024-04,5.588053555436853,0.01657751693271505,6724
ingroup_self_positioning_mean,In-group Self-positioning,party_brand_index_10,Party Brand Index (10-point units),2024-05,5.403774135246251,0.011100536465821745,280
ingroup_self_positioning_mean,In-group Self-positioning,party_brand_index_10,Party Brand Index (10-point units),2024-06,6.823354445533982,0.014188560955767203,2128
ingroup_self_positioning_mean,In-group Self-positioning,party_brand_index_10,Party Brand Index (10-point units),2024-07,6.5349630608167315,0.032894343414807764,6196
ingroup_self_positioning_mean,In-group Self-positioning,party_brand_index_10,Party Brand Index (10-point units),2024-08,6.474803131349269,0.010293828405720556,335
ingroup_self_positioning_mean,In-group Self-positioning,party_brand_index_10,Party Brand Index (10-point units),2024-09,6.153512440852972,0.012222128649660168,3410
ingroup_self_positioning_mean,In-group Self-positioning,party_brand_index_10,Party Brand Index (10-point units),2024-10,6.02671736550006,0.00916227372852593,824
ingroup_self_positioning_mean,In-group Self-positioning,party_brand_index_10,Party Brand Index (10-point units),2024-11,6.306219466032603,0.021436826226762542,9036
ingroup_self_positioning_mean,In-group Self-positioning,party_brand_index_10,Party Brand Index (10-point units),2024-12,6.16353611998906,0.013674785738572575,2197
emotional_intensity_mean,Emotional Intensity,party_brand_index_10,Party Brand Index (10-point units),2022-03,4.303174699727004,0.18689130771713588,26481
emotional_intensity_mean,Emotional Intensity,party_brand_index_10,Party Brand Index (10-point units),2022-04,5.204340502830389,0.18563181227827896,5161
emotional_intensity_mean,Emotional Intensity,party_brand_index_10,Party Brand Index (10-point units),2022-05,5.572073476834651,0.1997566011425024,6082
emotional_intensity_mean,Emotional Intensity,party_brand_index_10,Party Brand Index (10-point units),2022-06,4.4275881058987245,0.16846541230914824,407
emotional_intensity_mean,Emotional Intensity,party_brand_index_10,Party Brand Index (10-point units),2022-07,5.619299969599727,0.1407284137865741,1539
emotional_intensity_mean,Emotional Intensity,party_brand_index_10,Party Brand Index (10-point units),2022-08,5.338697492221824,0.1479014232856754,306
emotional_intensity_mean,Emotional Intensity,party_brand_index_10,Party Brand Index (10-point units),2022-09,5.389953584964042,0.21227938908911867,1790
emotional_intensity_mean,Emotional Intensity,party_brand_index_10,Party Brand Index (10-point units),2022-10,6.456066475629389,0.20136521408417635,5249
emotional_intensity_mean,Emotional Intensity,party_brand_index_10,Party Brand Index (10-point units),2022-11,5.2616024215582,0.1853664789641035,1117
emotional_intensity_mean,Emotional Intensity,party_brand_index_10,Party Brand Index (10-point units),2022-12,6.410896206747798,0.2206664294731866,3741
emotional_intensity_mean,Emotional Intensity,party_brand_index_10,Party Brand Index (10-point units),2023-01,5.406747217334802,0.1849317945517001,1613
